issue_type,severity,blocking,hotel_name,city,priority_band,details,source_file
unverified_opening_hours,Low,no,Masážny salón Mandala,Staré Mesto,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Tantra Diamond,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,ZION SPA,Staré Mesto,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Wellness Modena,Ružinov,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Golden cave. thai massage,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Wellmass coffe & wellness,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Radio Hotel Bratislava,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Penzión Angelika,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,"LUXURY - Brands CELINE, BRUNELLO CUCINELLI , TOM FORD, KITON, ZIMMERMAN, KHAITE and more",Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Thai massage - Massage,Bratislava,Medium,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Barónka,Rača,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Botel Pressburg & Restaurant,Staré Mesto,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Apartments Hotel Elisabeth,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,River View Apartments,Staré Mesto,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,UBYTOVANIE,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Ubytovňa Narva,Rača,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Ubytovňa Nivy,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Bed & Breakfast Apartment Ginko,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Chill time wellness & spa,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Catalog Boutique Rooms,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Ikaros Hotel,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Optimum Devinska,Devínska Nová Ves,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,U Teodora Apartments,Bratislava,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Penzión V Lamači - Zdenka Pánisová,Lamač,Low,Otváracie hodiny sú verejne nepotvrdené.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,Loft Hotel Bratislava,Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_checkin_checkout,Low,no,"Radisson Blu Carlton Hotel, Bratislava",Bratislava,High,Check-in / check-out je verejne nepotvrdený; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
